RecordId,SourceBoard,DataGrain,RecordType,MeetingId,ItemId,MotionId,Board,MeetingFormat,MeetingType,MeetingDate,MeetingYear,MeetingTime,MeetingVenue,Status,AgendaItemNumber,AgendaItemType,FactCategory,LandUseCategory,ProjectName,ProjectTitle,Summary,ApplicationId,ApplicationType,ApplicantName,District,StaffCode,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,VoteYes,VoteNo,VoteAbstain,AddressRaw,AddressNormalized,LocationName,Latitude,Longitude,GeocodeConfidence,LocationGrain,ParcelId,PrimarySourceUrl,SourceFilename,ExtractionMethod,ExtractionConfidence,ReviewRequired,ReviewReason,AiReady,CitationText
council:1346,council,agenda_item,AgendaItemLocation,264,1346,1227,Village Council,Regular Meeting,Village Council,2025-12-17,2025,9:30 am,Estero Village Hall,Cancelled,8,Ordinance,legislative_ordinance,residential,Broadway Avenue Utility Extension,"First Reading of Zoning Ordinance No. 2025-15, 4741 Broadway Avenue West rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Approving with Conditions a Rezoning from Agriculture (AG) to Residential Single Family (RSF)...","First Reading of Zoning Ordinance No. 2025-15, 4741 Broadway Avenue West rezoning An Ordinance of the Village Council of the Village of Estero, Florida, Approving with Conditions a Rezoning from Agriculture (AG) to Residential Single Family (RSF) For A0.3. Action: Passed first reading of Ordinance No. 2025-15 and set second reading and public hearing for January 21, 20",Ordinance No. 2025-15,ordinance,,,TD/CS,"Passed first reading of Ordinance No. 2025-15 and set second reading and public hearing for January 21, 20","Passed first reading of Ordinance No. 2025-15 and set second reading and public hearing for January 21, 20","Passed first reading of Ordinance No. 2025-15 and set second reading and public hearing for January 21, 20",,,Detected,,,,4741 Broadway Avenue,"4741 Broadway Avenue, Estero, FL",4741 Broadway Avenue,26.441434871611,-81.833425612111,0.995,item_address,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf,12172025.pdf,pdf_extraction:council,low,true,Review item 1339: weak or fallback extraction.; Review item 1340: weak or fallback extraction.; Review item 1341: weak or fallback extraction.; Review item 1345: weak or fallback extraction.; Review item 1347: weak or fallback extraction.; Review item 1348: weak or fallback extraction.; Review item 1349: weak or fallback extraction.,false,"Village Council meeting on 2025-12-17, agenda item 8 (Ordinance): Passed first reading of Ordinance No. 2025-15 and set second reading and public hearing for January 21, 20 Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf"
council:1344,council,agenda_item,AgendaItemLocation,264,1344,1225,Village Council,Regular Meeting,Village Council,2025-12-17,2025,9:30 am,Estero Village Hall,Cancelled,6,Contract Approval,contract_approval,infrastructure,Broadway Avenue Utility Extension,Broadway Ave. West Safety and Drainage Improvements - Design & Permitting Contract,"Broadway Ave. West Safety and Drainage Improvements - Design & Permitting Contract. Action: Approved award of Contract 26010 to CW3 Engineering to provide design and permitting services for the Broadway Ave West Safety & Drainage Improvements project for $1,638,631.42, approve a $163,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the con...",,,,,TD/CS,"Approved award of Contract 26010 to CW3 Engineering to provide design and permitting services for the Broadway Ave West Safety & Drainage Improvements project for $1,638,631.42, approve a $163,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council","Approved award of Contract 26010 to CW3 Engineering to provide design and permitting services for the Broadway Ave West Safety & Drainage Improvements project for $1,638,631.42, approve a $163,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council","Approved award of Contract 26010 to CW3 Engineering to provide design and permitting services for the Broadway Ave West Safety & Drainage Improvements project for $1,638,631.42, approve a $163,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council",,,Detected,,,,"Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL","Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL","Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL",26.441876807456,-81.822814751334,0.95,item_address,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf,12172025.pdf,pdf_extraction:council,low,true,Review item 1339: weak or fallback extraction.; Review item 1340: weak or fallback extraction.; Review item 1341: weak or fallback extraction.; Review item 1345: weak or fallback extraction.; Review item 1347: weak or fallback extraction.; Review item 1348: weak or fallback extraction.; Review item 1349: weak or fallback extraction.,false,"Village Council meeting on 2025-12-17, agenda item 6 (Contract Approval): Approved award of Contract 26010 to CW3 Engineering to provide design and permitting services for the Broadway Ave West Safety & Drainage Improvements project for $1,638,631.42, approve a $163,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf"
council:1343,council,agenda_item,AgendaItemLocation,264,1343,1224,Village Council,Regular Meeting,Village Council,2025-12-17,2025,9:30 am,Estero Village Hall,Cancelled,5,Vote,board_vote,infrastructure,Septic to Sewer,Cypress Bend Utility Extension Project Funding,"Cypress Bend Utility Extension Project Funding. Action: Approved the Village of Estero providing $557,681.00 towards the design, permitting and construction of the Cypress Bend UEP. This equals 25% of the project cost",,,,,TD/CS,"Approved the Village of Estero providing $557,681.00 towards the design, permitting and construction of the Cypress Bend UEP. This equals 25% of the project cost","Approved the Village of Estero providing $557,681.00 towards the design, permitting and construction of the Cypress Bend UEP. This equals 25% of the project cost","Approved the Village of Estero providing $557,681.00 towards the design, permitting and construction of the Cypress Bend UEP. This equals 25% of the project cost",,,Detected,,,,"Cypress Bend, Estero, FL","Cypress Bend, Estero, FL",Cypress Bend Septic Area,,,0.9,item_address,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf,12172025.pdf,pdf_extraction:council,low,true,Review item 1339: weak or fallback extraction.; Review item 1340: weak or fallback extraction.; Review item 1341: weak or fallback extraction.; Review item 1345: weak or fallback extraction.; Review item 1347: weak or fallback extraction.; Review item 1348: weak or fallback extraction.; Review item 1349: weak or fallback extraction.,false,"Village Council meeting on 2025-12-17, agenda item 5 (Vote): Approved the Village of Estero providing $557,681.00 towards the design, permitting and construction of the Cypress Bend UEP. This equals 25% of the project cost Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf"
council:1342,council,agenda_item,AgendaItemLocation,264,1342,1223,Village Council,Regular Meeting,Village Council,2025-12-17,2025,9:30 am,Estero Village Hall,Cancelled,4,Vote,board_vote,infrastructure,Septic to Sewer,Sunny Grove Utility Extension Project Funding,"Sunny Grove Utility Extension Project Funding. Action: Approved the Village of Estero providing $726,777 towards the design, permitting and construction of the Sunny Grove UEP. This equals 25% of the project cost",,,,,TD/CS,"Approved the Village of Estero providing $726,777 towards the design, permitting and construction of the Sunny Grove UEP. This equals 25% of the project cost","Approved the Village of Estero providing $726,777 towards the design, permitting and construction of the Sunny Grove UEP. This equals 25% of the project cost","Approved the Village of Estero providing $726,777 towards the design, permitting and construction of the Sunny Grove UEP. This equals 25% of the project cost",,,Detected,,,,"Sunny Grove, Estero, FL","Sunny Grove, Estero, FL",Sunny Grove Septic Area,,,0.9,item_address,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf,12172025.pdf,pdf_extraction:council,low,true,Review item 1339: weak or fallback extraction.; Review item 1340: weak or fallback extraction.; Review item 1341: weak or fallback extraction.; Review item 1345: weak or fallback extraction.; Review item 1347: weak or fallback extraction.; Review item 1348: weak or fallback extraction.; Review item 1349: weak or fallback extraction.,false,"Village Council meeting on 2025-12-17, agenda item 4 (Vote): Approved the Village of Estero providing $726,777 towards the design, permitting and construction of the Sunny Grove UEP. This equals 25% of the project cost Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12172025.pdf"
council:1336,council,agenda_item,AgendaItemLocation,263,1336,1217,Village Council,Regular Meeting,Village Council,2025-12-03,2025,9:30 am,Estero Village Hall,Accepted,5,Resolution,legislative_resolution,infrastructure,Septic to Sewer,"Resolution No. 2025-25 providing notice of intent to establish non-ad valorem assessment for package plant to central sewer system project for Cypress Bend RV Resort. A Resolution of the Village Council of the Village of Estero, Florida, Providing...","Resolution No. 2025-25 providing notice of intent to establish non-ad valorem assessment for package plant to central sewer system project for Cypress Bend RV Resort. A Resolution of the Village Council of the Village of Estero, Florida, Providing Notice . Action: Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process",Resolution No. 2025-25,resolution,,,TD/CS,Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,,,Detected,,,,"Cypress Bend, Estero, FL","Cypress Bend, Estero, FL",Cypress Bend Septic Area,,,0.9,item_address,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12032025.pdf,12032025.pdf,pdf_extraction:council,low,true,Review item 1332: weak or fallback extraction.; Review item 1333: weak or fallback extraction.; Review item 1334: weak or fallback extraction.; Review item 1337: weak or fallback extraction.; Review item 1338: weak or fallback extraction.,false,"Village Council meeting on 2025-12-03, agenda item 5 (Resolution): Adopted Resolution No. 2025-25 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12032025.pdf"
council:1335,council,agenda_item,AgendaItemLocation,263,1335,1216,Village Council,Regular Meeting,Village Council,2025-12-03,2025,9:30 am,Estero Village Hall,Accepted,4,Resolution,legislative_resolution,infrastructure,Septic to Sewer,"Resolution No. 2025-24 providing notice of intent to establish non-ad valorem assessment for package plant to central sewer system project for Sunny Grove Park, Inc. A Resolution of the Village Council of the Village of Estero, Florida, Providing...","Resolution No. 2025-24 providing notice of intent to establish non-ad valorem assessment for package plant to central sewer system project for Sunny Grove Park, Inc. A Resolution of the Village Council of the Village of Estero, Florida, Providing Notice o. Action: Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process",Resolution No. 2025-24,resolution,,,TD/CS,Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process,,,Detected,,,,"Sunny Grove, Estero, FL","Sunny Grove, Estero, FL",Sunny Grove Septic Area,,,0.9,item_address,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12032025.pdf,12032025.pdf,pdf_extraction:council,low,true,Review item 1332: weak or fallback extraction.; Review item 1333: weak or fallback extraction.; Review item 1334: weak or fallback extraction.; Review item 1337: weak or fallback extraction.; Review item 1338: weak or fallback extraction.,false,"Village Council meeting on 2025-12-03, agenda item 4 (Resolution): Adopted Resolution No 2025-24 and authorize the Village Manager to execute the related Interlocal Agreement with the Lee County Property Appraiser to administer the assessment process Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/12032025.pdf"
pzdb:124,pzdb,agenda_item,AgendaItemLocation,44,124,83,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-11-18,2025,4:32 pm,Estero Village Hall,Accepted,3,Vote,board_vote,open_space,"Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to cons...","Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to cons...","Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to construct a7. Action: Approved the Development Order with staff stipulations and the correction of the hours of operation",DOS2025-E002,development_order,,4,,Approved the Development Order with staff stipulations and the correction of the hours of operation,Approved the Development Order with staff stipulations and the correction of the hours of operation,Approved the Development Order with staff stipulations and the correction of the hours of operation,,,See minutes,6,1,,10411 Corkscrew Commons Drive,"10411 Corkscrew Commons Drive, Estero, FL","10411 Corkscrew Commons Drive, Estero, FL",26.43208733128,-81.781417998383,1.0,item_address,,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2025/20251118%20PZDB%20Minutes.pdf,20251118 PZDB Minutes.pdf,pdf_extraction:pzdb,high,false,,true,"Planning Zoning & Design Board meeting on 2025-11-18, agenda item 3 (Vote): Approved the Development Order with staff stipulations and the correction of the hours of operation Source: https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2025/20251118%20PZDB%20Minutes.pdf"
pzdb:123,pzdb,agenda_item,AgendaItemLocation,44,123,,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-11-18,2025,4:32 pm,Estero Village Hall,Accepted,2,Unknown,other,infrastructure,"4741 Broadway Ave. West (Cooper Property) - Rezoning (REZ2025-E001) (District 2) A triangular 0.36-acre parcel on the south side of Broadway Avenue West, across from Riverwoods Plantation and adjacent to the Florida Power & Light Company right-of-...","4741 Broadway Ave. West (Cooper Property) - Rezoning (REZ2025-E001) (District 2) A triangular 0.36-acre parcel on the south side of Broadway Avenue West, across from Riverwoods Plantation and adjacent to the Florida Power & Light Company right-of-...","4741 Broadway Ave. West (Cooper Property) - Rezoning (REZ2025-E001) (District 2) A triangular 0.36-acre parcel on the south side of Broadway Avenue West, across from Riverwoods Plantation and adjacent to the Florida Power & Light Company right-of-way. No . Action: Recommended approval to the Village Council with staff conditions",,,,2,,Recommended approval to the Village Council with staff conditions,Recommended approval to the Village Council with staff conditions,,,,See minutes,,,,4741 Broadway Ave,"4741 Broadway Ave, Estero, FL","4741 Broadway Ave, Estero, FL",26.441434871611,-81.833425612111,0.995,item_address,,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2025/20251118%20PZDB%20Minutes.pdf,20251118 PZDB Minutes.pdf,pdf_extraction:pzdb,high,false,,true,"Planning Zoning & Design Board meeting on 2025-11-18, agenda item 2 (Unknown): Recommended approval to the Village Council with staff conditions Source: https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2025/20251118%20PZDB%20Minutes.pdf"
pzdb:122,pzdb,agenda_item,AgendaItemLocation,44,122,82,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2025-11-18,2025,4:32 pm,Estero Village Hall,Accepted,1,Vote,board_vote,other,"Toasted Yolk - COP Administrative Amendment (ADD2025-E007) (District 1) 22941 Lyden Drive Suite 110, located west of US 41, east of Lyden Drive and south of Vandenberg Way. The unit was formerly occupied by Zoe's Kitchen. Applicant is seeking appr...","Toasted Yolk - COP Administrative Amendment (ADD2025-E007) (District 1) 22941 Lyden Drive Suite 110, located west of US 41, east of Lyden Drive and south of Vandenberg Way. The unit was formerly occupied by Zoe's Kitchen. Applicant is seeking appr...","Toasted Yolk - COP Administrative Amendment (ADD2025-E007) (District 1) 22941 Lyden Drive Suite 110, located west of US 41, east of Lyden Drive and south of Vandenberg Way. The unit was formerly occupied by Zoe's Kitchen. Applicant is seeking approval of . Action: Approved request for outdoor consumption on premises with staff conditions",ADD2025-E007,address_assignment,,1,,Approved request for outdoor consumption on premises with staff conditions,Approved request for outdoor consumption on premises with staff conditions,Approved request for outdoor consumption on premises with staff conditions,,,See minutes,6,0,1,22941 Lyden Drive,"22941 Lyden Drive, Estero, FL","22941 Lyden Drive, Estero, FL",26.403642127478,-81.811293532053,1.0,item_address,,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2025/20251118%20PZDB%20Minutes.pdf,20251118 PZDB Minutes.pdf,pdf_extraction:pzdb,high,false,,true,"Planning Zoning & Design Board meeting on 2025-11-18, agenda item 1 (Vote): Approved request for outdoor consumption on premises with staff conditions Source: https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/main/data/raw/pzdb/2025/20251118%20PZDB%20Minutes.pdf"
council:1323,council,agenda_item,AgendaItemLocation,261,1323,1204,Village Council,Regular Meeting,Village Council,2025-11-05,2025,9:30 am,Estero Village Hall,Accepted,4,Contract Approval,contract_approval,infrastructure,Williams Road Improvements,Williams Road & Atlantic Gulf Boulevard Wetland Mitigation,"Williams Road & Atlantic Gulf Boulevard Wetland Mitigation. Action: Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the ""Bank"") for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero Council",,,,,TD/CS,"Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the ""Bank"") for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero Council","Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the ""Bank"") for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero Council","Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the ""Bank"") for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero Council",,,Detected,,,,"Williams Road & Atlantic Gulf Boulevard, Estero, FL","Williams Road & Atlantic Gulf Boulevard, Estero, FL","Williams Road & Atlantic Gulf Boulevard, Estero, FL",26.420304009887,-81.812656010414,1.0,item_address,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/11052025.pdf,11052025.pdf,pdf_extraction:council,low,true,Review item 1320: weak or fallback extraction.; Review item 1321: weak or fallback extraction.; Review item 1322: weak or fallback extraction.; Review item 1324: weak or fallback extraction.,false,"Village Council meeting on 2025-11-05, agenda item 4 (Contract Approval): Approved the purchase of 0.14 State Freshwater Herbaceous Mitigation Credits in the amount of $16,800 from the Big Cypress Mitigation Bank (the ""Bank"") for the Williams Rd./Atlantic Gulf Blvd. intersection improvement project and authorize the Village Manager to sign the Mitigation Credit Supply Agreement with the Big Cypress Mitigation Bank and other additional implementing documents on behalf of the Village of Estero Council Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/11052025.pdf"
