"source_type","record_id","title","category","publish_date","url","document_url","venue","location","content"
"document","doc-223960","IRS findings Document_2026-05-24_092113","Published document","2026-08-18","https://esterotoday.com/irs-findings-document_2026-05-24_092113/","https://esterotoday.com/wp-content/uploads/2026/08/IRS-findings-Document_2026-05-24_092113.pdf","","","IRS findings Document_2026-05-24_092113 IRS findings Document_2026-05-24_092113"
"document","doc-46253","GECR 2026 Qtr 2","Published document","2026-05-21","https://esterotoday.com/gecr-2026-qtr-2/","https://esterotoday.com/wp-content/uploads/2026/05/GECR-2026-Qtr-2.pdf","","","GECR 2026 Qtr 2 GECR 2026 Qtr 2"
"document","doc-46101","2026.05.05-Estero-River-Park-Presentation","Published document","2026-05-12","https://esterotoday.com/2026-05-05-estero-river-park-presentation/","https://esterotoday.com/wp-content/uploads/2026/05/2026.05.05-Estero-River-Park-Presentation.pdf","","","2026.05.05-Estero-River-Park-Presentation 2026.05.05-Estero-River-Park-Presentation"
"document","doc-45319","GECR 2026 QTR 1 – Urbanization of Estero","Published document","2026-03-13","https://esterotoday.com/gecr-2026-qtr-1-urbanization-of-estero/","https://esterotoday.com/wp-content/uploads/2026/03/GECR-2026-QTR-1-Urbanization-of-Estero.pdf","","","GECR 2026 QTR 1 – Urbanization of Estero GECR 2026 QTR 1 - Urbanization of Estero"
"document","doc-44981","Engage Estero 2025 Annual Report","Published document","2026-02-11","https://esterotoday.com/engage-estero-2025-annual-report/","https://esterotoday.com/wp-content/uploads/2026/02/Engage-Estero-2025-Annual-Report.pdf","","","Engage Estero 2025 Annual Report Engage Estero 2025 Annual Report"
"document","doc-44810","20260129_Engage Estero Presentation","Published document","2026-01-30","https://esterotoday.com/20260129_engage-estero-presentation/","https://esterotoday.com/wp-content/uploads/2026/01/20260129_Engage-Estero-Presentation.pdf","","","20260129_Engage Estero Presentation 20260129_Engage Estero Presentation"
"document","doc-44607","Engage Estero 2025 Summary","Published document","2026-01-08","https://esterotoday.com/engage-estero-2025-summary/","https://esterotoday.com/wp-content/uploads/2026/01/Engage-Estero-2025-Summary.pdf","","","Engage Estero 2025 Summary Engage Estero 2025 Summary"
"document","doc-44371","Presentation Dec 11th Village Update","Published document","2025-12-12","https://esterotoday.com/presentation-dec-11th-village-update/","https://esterotoday.com/wp-content/uploads/2025/12/Presentation-Dec-11th-Village-Update.pdf","","","Presentation Dec 11th Village Update Presentation Dec 11th Village Update"
"document","doc-44329","2025GECRQtr4","Published document","2025-12-10","https://esterotoday.com/2025gecrqtr4/","https://esterotoday.com/wp-content/uploads/2025/12/2025GECRQtr4.pdf","","","2025GECRQtr4 2025GECRQtr4"
"document","doc-43994","Presentation Slideshow October 28th 2025","Published document","2025-10-30","https://esterotoday.com/presentation-slideshow-october-28th-2025/","https://esterotoday.com/wp-content/uploads/2025/10/Presentation-Slideshow-October-28th-2025.pdf","","","Presentation Slideshow October 28th 2025 Presentation Slideshow October 28th 2025"
