ProjectName,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType
"Goodwill Industries - Development Order (DOS2023-E005) (District 5) ±2.69-acre vacant parcel located at the southeast corner of Corkscrew Road and Three Oaks Parkway in the Estero Town Center Commercial Planned Development (CPD), also known as Low...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,9/12/2023,9/12/2023,2023,Accepted,59,2,Vote,"Goodwill Industries - Development Order (DOS2023-E005) (District 5) ±2.69-acre vacant parcel located at the southeast corner of Corkscrew Road and Three Oaks Parkway in the Estero Town Center Commercial Planned Development (CPD), also known as Low...","Goodwill Industries - Development Order (DOS2023-E005) (District 5) ±2.69-acre vacant parcel located at the southeast corner of Corkscrew Road and Three Oaks Parkway in the Estero Town Center Commercial Planned Development (CPD), also known as Lowes Plaza. Action: Approved Development Order with staff conditions",Approved Development Order with staff conditions,Approved Development Order with staff conditions,Approved Development Order with staff conditions,,,See minutes,,DOS2023-E005,5,"10041 Estero Town Commons Place, Estero, FL","10041 Estero Town Commons Place, Estero, FL",26.43064858,-81.78767677,1,,20230912 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/09122023%20PZDB%20Minutes.pdf,AgendaItemLocation
"Wawa Convenience Food & Beverage Store with Gas Development Order (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road. The site was previously developed and operated as a Ruby Tuesday Restaurant. Applicant is seeki...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,8/22/2023,8/22/2023,2023,Accepted,57,3,Vote,"Wawa Convenience Food & Beverage Store with Gas Development Order (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road. The site was previously developed and operated as a Ruby Tuesday Restaurant. Applicant is seeki...","Wawa Convenience Food & Beverage Store with Gas Development Order (DOS2022-E016) (District 4) 10081 Estero Town Commons Place, south of Corkscrew Road. The site was previously developed and operated as a Ruby Tuesday Restaurant. Applicant is seeking to re. Action: Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of...","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff","Approved the application with staff conditions, a minor amendment for the height of lighting features under the gas canopy to 21.53 feet, a minor amendment for the sign setback to be 10 feet instead of 15 feet with the preference of the taller sign if Lowes's approves the sign and replacing Cypress trees on Corkscrew Road with oaks or another species approved by staff",,,See minutes,,DOS2022-E016,4,10081 Estero Town Commons Place,10081 Estero Town Commons Place,26.43092174,-81.78543008,1,,20230822 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/08222023%20PZDB%20Minutes.pdf,AgendaItemLocation
"Zoning Amendment and Deviations - Estero Town Center - Wawa (DCI2021-E004) (District 5) 10081 Estero Town Commons, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Lowe's Plaza. Applicant seeks to am...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,7/12/2022,7/12/2022,2022,Accepted,13,2,Unknown,"Zoning Amendment and Deviations - Estero Town Center - Wawa (DCI2021-E004) (District 5) 10081 Estero Town Commons, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Lowe's Plaza. Applicant seeks to am...","Zoning Amendment and Deviations - Estero Town Center - Wawa (DCI2021-E004) (District 5) 10081 Estero Town Commons, located on the south side of Corkscrew Road on the parcel previously occupied by Ruby Tuesday in Lowe's Plaza. Applicant seeks to amend the . Action: Recommended to the Council to amend the Commercial Planned Development to allow a convenience store with gas pumps, and the addition of only one fast food restaurant and deny deviation 7 for the canopy. Additionally modify condition...","Recommended to the Council to amend the Commercial Planned Development to allow a convenience store with gas pumps, and the addition of only one fast food restaurant and deny deviation 7 for the canopy. Additionally modify conditions 3 and 9 and delete conditions 7 and","Recommended to the Council to amend the Commercial Planned Development to allow a convenience store with gas pumps, and the addition of only one fast food restaurant and deny deviation 7 for the canopy. Additionally modify conditions 3 and 9 and delete conditions 7 and",,,,,,DCI2021-E004,5,"10081 Estero Town Commons Place, Estero, FL","10081 Estero Town Commons Place, Estero, FL",26.43092174,-81.78543008,1,,20220712 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/07122022%20PZDB%20Minutes.pdf,AgendaItemLocation
"The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Ap...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,6/11/2024,6/11/2024,2024,Accepted,79,2,Vote,"The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Ap...","The Goddard School for Early Childhood Development - Development Order (DOS2024-E004)) (District 4) 10100 Arcos Avenue, located on the east side of Three Oaks Parkway, on the corner of Quente Way and Arcos Avenue, and south of Classic Car Wash. Applicant . Action: Approved the Development Order with staff stipulations",Approved the Development Order with staff stipulations,Approved the Development Order with staff stipulations,Approved the Development Order with staff stipulations,,,See minutes,,DOS2024-E004,4,"10100 Arcos Avenue, Estero, FL","10100 Arcos Avenue, Estero, FL",26.43362889,-81.78800877,1,,20240611 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/06112024%20PZDB%20Minutes.pdf,AgendaItemLocation
"Development Order - Arcos Executive Office (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, located at the northeast corner of Corkscrew Road and Three Oaks Parkway. Developme...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,8/9/2022,8/9/2022,2022,Accepted,16,2,Vote,"Development Order - Arcos Executive Office (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, located at the northeast corner of Corkscrew Road and Three Oaks Parkway. Developme...","Development Order - Arcos Executive Office (District 4) (DOS2017-E006) 10170 and 10150 Arcos Avenue, Plaza Del Sol Commercial Planned Development, Parcels B and C, located at the northeast corner of Corkscrew Road and Three Oaks Parkway. Development Order. Action: Approved the Development Order with the exception of the monument sign",Approved the Development Order with the exception of the monument sign,Approved the Development Order with the exception of the monument sign,Approved the Development Order with the exception of the monument sign,,,See minutes,,DOS2017-E006,4,"10170 and 10150 Arcos Avenue, Estero, FL","10170 and 10150 Arcos Avenue, Estero, FL",26.43199601,-81.78774801,1,,20220809 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/08092022%20PZDB%20Minutes.pdf,AgendaItemLocation
"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,12/12/2023,12/12/2023,2023,Accepted,69,1,Ordinance,"Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final...","Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action A. Action: No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol C...","No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 12, 2023 Page 2 of 4 Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructur","No formal action recorded. Estero Storage LLC - Zoning Amendment (No application submitted) (District 4) 10251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date. Planning Zoning and Design Board Minutes - December 12, 2023 Page 2 of 4 Applicant seeks zoning amendment for Parcel ""G"" in the Plaza Del Sol CPD to allow for a mixed-use project that includes storage, hotel, retail / restaurant / medical office, and associated infrastructur",,,,,8-Jun,,4,"10251 Arcos Avenue, Estero, FL","10251 Arcos Avenue, Estero, FL",26.43347676,-81.78574616,1,,20231212 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/12122023%20PZDB%20Minutes.pdf,AgendaItemLocation
"Plaza Del Sol CPD- Zoning Amendment (DCI2024-E002) (District 4) 0251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Applicant seeks zonin...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,6/11/2024,6/11/2024,2024,Accepted,81,4,Unknown,"Plaza Del Sol CPD- Zoning Amendment (DCI2024-E002) (District 4) 0251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Applicant seeks zonin...","Plaza Del Sol CPD- Zoning Amendment (DCI2024-E002) (District 4) 0251 Arcos Avenue located on a ± 7-acre vacant site east of the Estero Medical Center, off Arcos Avenue in the Plaza Del Sol Commercial Planned Development (CPD) Applicant seeks zoning amendm. Action: Recommended approval to the Village Council with staff conditions and the additional modifications to the Pattern Book and phasing conditions",Recommended approval to the Village Council with staff conditions and the additional modifications to the Pattern Book and phasing conditions,Recommended approval to the Village Council with staff conditions and the additional modifications to the Pattern Book and phasing conditions,,,,See minutes,,DCI2024-E002,4,"10251 Arcos Avenue, Estero, FL","10251 Arcos Avenue, Estero, FL",26.43347676,-81.78574616,1,,20240611 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/06112024%20PZDB%20Minutes.pdf,AgendaItemLocation
Celebree School - Development Order (DOS2024-E006) (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donat...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,9/10/2024,9/10/2024,2024,Accepted,86,2,Vote,Celebree School - Development Order (DOS2024-E006) (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donat...,"Celebree School - Development Order (DOS2024-E006) (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donation Cent. Action: Approved Development Order with staff recommendations, the change of the dark blue to the lighter blue, and the deviation in parking","Approved Development Order with staff recommendations, the change of the dark blue to the lighter blue, and the deviation in parking","Approved Development Order with staff recommendations, the change of the dark blue to the lighter blue, and the deviation in parking","Approved Development Order with staff recommendations, the change of the dark blue to the lighter blue, and the deviation in parking",,,See minutes,,DOS2024-E006,4,"10351 Corkscrew Commons Drive, Estero, FL","10351 Corkscrew Commons Drive, Estero, FL",26.4319862,-81.78357047,1,,20240910 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/09102024%20PZDB%20Minutes.pdf,AgendaItemLocation
Celebree School - Development Order (DOS2024-E006) (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donat...,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,10/29/2024,10/29/2024,2024,Accepted,90,2,Vote,Celebree School - Development Order (DOS2024-E006) (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donat...,Celebree School - Development Order (DOS2024-E006) (District 4) 10351 Corkscrew Commons Drive. The property is located north of Corkscrew Road and west of Corkscrew Crossings Boulevard. The building previously operated as a Goodwill Retail & Donation Cent. Action: Approved revision to Development Order to remove the stone at the base of the building and clarify the color of Utterly Beige for the base,Approved revision to Development Order to remove the stone at the base of the building and clarify the color of Utterly Beige for the base,Approved revision to Development Order to remove the stone at the base of the building and clarify the color of Utterly Beige for the base,Approved revision to Development Order to remove the stone at the base of the building and clarify the color of Utterly Beige for the base,,,See minutes,,DOS2024-E006,4,"10351 Corkscrew Commons Drive, Estero, FL","10351 Corkscrew Commons Drive, Estero, FL",26.4319862,-81.78357047,1,,20241029 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/10292024%20PZDB%20Minutes.pdf,AgendaItemLocation
"Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to cons...",Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,11/18/2025,11/18/2025,2025,Accepted,124,3,Vote,"Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to cons...","Discount Tire - Development Order (DOS2025-E002) (District 4) 10411 Corkscrew Commons Drive, a vacant 1-acre site located in Estero Interstate Commerce Park, fronting Corkscrew Road and between Rib City and Mr. Tequila. The applicant seeks to construct a7. Action: Approved the Development Order with staff stipulations and the correction of the hours of operation",Approved the Development Order with staff stipulations and the correction of the hours of operation,Approved the Development Order with staff stipulations and the correction of the hours of operation,Approved the Development Order with staff stipulations and the correction of the hours of operation,,,See minutes,,DOS2025-E002,4,"10411 Corkscrew Commons Drive, Estero, FL","10411 Corkscrew Commons Drive, Estero, FL",26.43208733,-81.781418,1,,20251118 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/11182005%20%20%20PZDB%20Minutes.pdf,AgendaItemLocation
