RecordId,SourceBoard,DataGrain,RecordType,MeetingId,ItemId,MotionId,Board,MeetingFormat,MeetingType,MeetingDate,MeetingYear,MeetingTime,MeetingVenue,Status,AgendaItemNumber,AgendaItemType,FactCategory,LandUseCategory,ProjectName,ProjectTitle,Summary,ApplicationId,ApplicationType,ApplicantName,District,StaffCode,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,VoteYes,VoteNo,VoteAbstain,AddressRaw,AddressNormalized,LocationName,Latitude,Longitude,GeocodeConfidence,LocationGrain,ParcelId,PrimarySourceUrl,SourceFilename,ExtractionMethod,ExtractionConfidence,ReviewRequired,ReviewReason,AiReady,CitationText,ProjectId,ProjectKey
vc:1,vc,agenda_item,AgendaItem,1,1,1,Village Council,Regular Meeting,Village Council,2024-01-03,2024,9:30 am,Estero Village Hall,Approved,1,Administrative,administrative,meetings_records_public_input,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",,,,,TD/CS,Approved agenda,Approved agenda,,,,Detected,,,,,,,,,,,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,01032024 minutes.pdf,pdf_extraction:vc,0.5,true,,false,"Village Council meeting on 2024-01-03, agenda item 1 (Administrative): Approved agenda Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf",,
vc:2,vc,agenda_item,AgendaItem,1,2,2,Village Council,Regular Meeting,Village Council,2024-01-03,2024,9:30 am,Estero Village Hall,Approved,2,Consent Agenda,consent_agenda,meetings_records_public_input,,"December 13, 2023 Special Village Council Meeting Minutes","December 13, 2023 Special Village Council Meeting Minutes. Action: Approved consent agenda",,,,,TD/CS,Approved consent agenda,Approved consent agenda,,,,Detected,,,,,,,,,,,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,01032024 minutes.pdf,pdf_extraction:vc,0.5,true,,false,"Village Council meeting on 2024-01-03, agenda item 2 (Consent Agenda): Approved consent agenda Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf",,
vc:3,vc,agenda_item,AgendaItem,1,3,3,Village Council,Regular Meeting,Village Council,2024-01-03,2024,9:30 am,Estero Village Hall,Approved,3,Vote,vote,meetings_records_public_input,,Village of Estero Information Security Policy,Village of Estero Information Security Policy. Action: Adopted the Village of Estero Information Security Policy,,,,,TD/CS,Adopted the Village of Estero Information Security Policy,Adopted the Village of Estero Information Security Policy,,,,Detected,,,,,,,,,,,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,01032024 minutes.pdf,pdf_extraction:vc,0.5,true,,false,"Village Council meeting on 2024-01-03, agenda item 3 (Vote): Adopted the Village of Estero Information Security Policy Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf",,
vc:4,vc,agenda_item,AgendaItemLocation,1,4,,Village Council,Regular Meeting,Village Council,2024-01-03,2024,9:30 am,Estero Village Hall,Approved,4,Unknown,unknown,meetings_records_public_input,,"Approval of code enforcement lien compromise payment from Pro Energy, LLC","Approval of code enforcement lien compromise payment from Pro Energy, LLC. Action: Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made",,,Pro Energy,,TD/CS,"Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made","Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made",,,,Detected,,,,"8800 Corkscrew Road, Estero, FL","8800 Corkscrew Road, Estero, FL","8800 Corkscrew Road, Estero, FL",26.430882013604,-81.807370969005,1.0,,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,01032024 minutes.pdf,pdf_extraction:vc,0.5,true,,false,"Village Council meeting on 2024-01-03, agenda item 4 (Unknown): Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf",,
vc:5,vc,agenda_item,AgendaItemLocation,1,5,4,Village Council,Regular Meeting,Village Council,2024-01-03,2024,9:30 am,Estero Village Hall,Approved,5,Contract Approval,contract_approval,transportation_mobility,Village Wide Traffic Study Contract - Bella Terra,Village Wide Traffic Study Contract,"Village Wide Traffic Study Contract. Action: Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study",EC 2024-07,,Johnson Engineering,,TD/CS,"Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study","Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study",,,,Detected,,,,Bella Terra,Bella Terra Subdivision,Bella Terra Subdivision,26.433015857266223,-81.73086266056815,0.85,neighborhood,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,01032024 minutes.pdf,pdf_extraction:vc,0.5,true,,false,"Village Council meeting on 2024-01-03, agenda item 5 (Contract Approval): Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf",1,village_wide_traffic_study_contract_bella_terra
vc:6,vc,agenda_item,AgendaItem,1,6,5,Village Council,Regular Meeting,Village Council,2024-01-03,2024,9:30 am,Estero Village Hall,Approved,6,Contract Approval,contract_approval,transportation_mobility,Right of Way Acquisition Services Contract - Sandy Lane,Right of Way Acquisition Services Contract,Right of Way Acquisition Services Contract. Action: Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council,EC 2024-06,,Florida Acquisition Services,,TD/CS,Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council,Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council,,,,Detected,,,,,,,,,,,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,01032024 minutes.pdf,pdf_extraction:vc,0.5,true,,false,"Village Council meeting on 2024-01-03, agenda item 6 (Contract Approval): Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf",2,right_of_way_acquisition_services_contract_sandy_lane
vc:7,vc,agenda_item,AgendaItemLocation,1,7,6,Village Council,Regular Meeting,Village Council,2024-01-03,2024,9:30 am,Estero Village Hall,Approved,7,Contract Approval,contract_approval,utilities_stormwater_environment,"Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television","Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1","Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1. Action: Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company",EC 2022-83,,National Water Main Cleaning Company,,TD/CS,"Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company","Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company",,,,Detected,,,,Estero Bay Village Septic Area,"Estero Bay Village, Estero, FL","Estero Bay Village, Estero, FL",26.4408,-81.8225,0.9,named_venue,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,01032024 minutes.pdf,pdf_extraction:vc,0.95,false,,true,"Village Council meeting on 2024-01-03, agenda item 7 (Contract Approval): Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf",3,estero_bay_village_sunny_groves_cypress_bend_gravity_sewer_smoke_closed_circuit_television
vc:8,vc,agenda_item,AgendaItem,1,8,,Village Council,Regular Meeting,Village Council,2024-01-03,2024,9:30 am,Estero Village Hall,No Action,8,Unknown,unknown,meetings_records_public_input,,"December 6, 2023 Council Meeting Minutes","December 6, 2023 Council Meeting Minutes. Action: No formal action recorded. December 6, 2023 Council Meeting Minutes",,,,,TD/CS,"No formal action recorded. December 6, 2023 Council Meeting Minutes","No formal action recorded. December 6, 2023 Council Meeting Minutes",,,,,,,,,,,,,,,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,01032024 minutes.pdf,pdf_extraction:vc,0.5,true,,false,"Village Council meeting on 2024-01-03, agenda item 8 (Unknown): No formal action recorded. December 6, 2023 Council Meeting Minutes Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf",,
vc:9,vc,agenda_item,AgendaItem,1,9,,Village Council,Regular Meeting,Village Council,2024-01-03,2024,9:30 am,Estero Village Hall,No Action,9,Public Comment,public_comment,transportation_mobility,,Review of the Code Enforcement law and procedures,"Review of the Code Enforcement law and procedures. Action: No formal action recorded. Review of the Code Enforcement law and procedures Staff Presentation/Comments Steve Sarkozy, Village Manager Robert Eschenfelder, Village Attorney Mary Gibbs, Community Development Director Stanley Knight, Code Compliance Manager Council Questions or Comments Councilmembers Zalucki, Ward, Fayhee, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments Clark McKenzie, Estero Council requested to get periodic updates on code compliance cases",,,,,TD/CS,"No formal action recorded. Review of the Code Enforcement law and procedures Staff Presentation/Comments Steve Sarkozy, Village Manager Robert Eschenfelder, Village Attorney Mary Gibbs, Community Development Director Stanley Knight, Code Compliance Manager Council Questions or Comments Councilmembers Zalucki, Ward, Fayhee, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments Clark McKenzie, Estero Council requested to get periodic updates on code compliance cases","No formal action recorded. Review of the Code Enforcement law and procedures Staff Presentation/Comments Steve Sarkozy, Village Manager Robert Eschenfelder, Village Attorney Mary Gibbs, Community Development Director Stanley Knight, Code Compliance Manager Council Questions or Comments Councilmembers Zalucki, Ward, Fayhee, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments Clark McKenzie, Estero Council requested to get periodic updates on code compliance cases",,,,,,,,,,,,,,,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,01032024 minutes.pdf,pdf_extraction:vc,0.5,true,,false,"Village Council meeting on 2024-01-03, agenda item 9 (Public Comment): No formal action recorded. Review of the Code Enforcement law and procedures Staff Presentation/Comments Steve Sarkozy, Village Manager Robert Eschenfelder, Village Attorney Mary Gibbs, Community Development Director Stanley Knight, Code Compliance Manager Council Questions or Comments Councilmembers Zalucki, Ward, Fayhee, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments Clark McKenzie, Estero Council requested to get periodic updates on code compliance cases Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf",,
vc:10,vc,agenda_item,AgendaItem,2,10,7,Village Council,Regular Meeting,Village Council,2017-01-04,2017,9:30 am,Legacy Church,Approved,1,Vote,vote,meetings_records_public_input,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda as revised: pulled agenda item 3",,,,,DR/GR,Approved the agenda as revised: pulled agenda item 3,Approved the agenda as revised: pulled agenda item 3,,,,Detected,,,,,,,,,,,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/010417%20Council%20Meeting%20Approved%20Minutes.pdf,010417 Council Meeting Approved Minutes.pdf,pdf_extraction:vc,0.5,true,,false,"Village Council meeting on 2017-01-04, agenda item 1 (Vote): Approved the agenda as revised: pulled agenda item 3 Source: https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/010417%20Council%20Meeting%20Approved%20Minutes.pdf",,
