item_id,location_id
4,38
5,39
7,40
11,24
14,19
26,41
30,42
35,14
40,43
56,5
56,15
63,17
64,44
64,45
64,46
64,47
64,48
64,49
65,50
68,17
69,44
69,45
69,46
69,47
69,48
69,49
70,50
71,51
72,52
72,53
74,54
74,55
74,56
75,57
76,58
78,59
81,60
82,61
85,24
92,62
97,63
98,64
106,65
108,66
109,67
110,67
118,68
123,69
129,12
131,70
137,71
147,43
150,72
160,17
171,73
177,74
178,42
179,75
189,69
195,12
196,76
197,77
198,5
206,62
216,51
218,51
220,78
222,79
223,80
224,78
225,81
227,82
228,61
229,83
231,84
232,44
232,45
232,46
232,47
232,48
232,49
233,58
243,24
262,85
263,41
267,86
268,82
271,87
272,84
273,88
276,5
279,73
283,65
284,65
293,89
298,90
299,91
300,19
309,17
311,17
315,39
328,92
333,93
347,94
349,95
350,17
351,65
355,96
356,97
358,98
360,99
361,100
362,101
363,102
365,103
366,104
368,105
370,106
371,105
372,107
378,41
379,14
388,51
389,62
396,41
397,108
399,74
431,62
432,39
446,109
449,110
462,73
472,111
473,112
476,15
485,113
486,41
492,12
493,114
522,108
523,82
530,68
531,85
532,75
533,85
534,85
536,97
537,41
540,107
541,44
541,45
541,46
541,47
541,48
541,49
543,115
544,116
546,117
547,118
548,119
549,120
550,121
551,82
553,83
554,83
555,82
557,95
558,122
560,123
561,50
562,124
564,125
593,112
595,73
602,41
609,111
610,126
618,18
626,108
628,90
629,91
631,17
651,85
652,12
653,73
657,112
685,113
686,107
690,127
692,122
704,5
711,93
714,128
715,129
716,130
722,39
723,131
731,17
734,105
735,120
738,80
739,132
739,133
740,123
741,134
744,86
745,13
746,135
750,136
752,110
754,99
755,137
756,138
758,101
760,121
761,119
762,120
763,58
766,139
767,140
786,105
790,15
798,14
801,5
820,141
822,131
823,141
824,42
829,122
833,128
850,142
851,5
853,42
854,81
855,39
863,14
883,143
886,143
901,67
912,144
914,81
919,40
921,5
922,58
929,5
929,17
929,18
936,122
943,82
951,110
952,145
955,136
956,136
957,146
958,99
961,147
962,117
963,103
964,104
965,148
968,82
969,132
969,133
970,84
971,84
973,136
974,149
975,150
976,125
979,151
980,128
981,152
989,122
1011,153
1019,92
1021,108
1027,108
1030,144
1041,58
1046,24
1048,111
1049,62
1058,125
1059,111
1060,125
1063,154
1064,84
1065,82
1086,110
1101,107
1102,129
1105,155
1108,81
1119,5
1120,97
1129,84
1134,156
1141,113
1144,41
1157,87
1158,5
1158,17
1170,157
1176,158
1179,41
1180,51
1185,159
1186,131
1189,42
1190,44
1190,45
1190,46
1190,47
1190,48
1190,49
1191,160
1195,14
1197,161
1198,162
1199,44
1199,45
1199,46
1199,47
1199,48
1199,49
1201,154
1202,163
1203,164
1207,165
1208,166
1210,167
1215,168
1217,113
1218,146
1219,169
1220,169
1221,170
1223,122
1224,94
1235,58
1263,171
1266,172
1277,68
1290,79
1291,123
1292,166
1293,173
1295,174
1296,175
1297,176
1298,24
1301,177
1314,42
1319,178
1320,152
1321,124
1337,44
1337,45
1337,46
1337,47
1337,48
1337,49
1338,131
1339,179
1340,44
1340,45
1340,46
1340,47
1340,48
1340,49
1341,61
1343,104
1353,113
1354,17
1354,24
1363,180
1364,181
1365,174
1367,114
1368,82
1369,44
1370,44
1371,170
1372,44
1372,45
1372,46
1372,47
1372,48
1372,49
1381,182
1392,5
1392,16
1393,183
1398,61
1409,109
1410,184
1429,67
1430,67
1431,185
1432,17
1433,126
1434,186
1435,187
1442,12
1448,188
1450,40
1453,5
1454,12
1458,62
1460,111
1461,68
1471,122
1472,122
1479,37
1480,138
1481,118
1484,116
1485,139
1486,140
1487,160
1488,82
1490,189
1512,5
1513,126
1514,119
1515,190
1516,176
1517,191
1518,191
1519,125
1521,102
1522,113
1523,128
1524,128
1525,135
1526,192
1528,114
1531,44
1531,45
1531,46
1532,70
1533,145
1560,42
1568,19
1571,16
1578,111
1579,111
1580,111
1582,111
1597,192
1606,87
1607,5
1607,17
1609,13
1615,40
1616,17
1617,70
1619,19
1630,125
1631,42
1632,75
1633,24
1641,97
1652,90
1659,137
1664,114
1666,170
1668,113
1669,174
1673,75
1690,69
1693,193
1694,19
1706,38
1707,38
1708,194
1709,93
1750,161
1751,161
1753,78
1754,74
1755,195
1760,196
1761,197
1762,70
1764,79
1769,85
1777,193
1792,125
1793,40
1803,24
1804,198
1805,41
1813,155
1814,113
1824,19
1825,19
1826,90
1837,62
1850,128
1851,50
1852,50
1856,105
1857,105
1858,173
1865,41
1870,140
1871,199
1872,118
1873,106
1876,131
1877,12
1890,62
1891,17
1894,5
1897,200
1898,18
1907,17
1910,24
1917,155
1918,113
1922,127
1923,17
1927,201
1928,18
1932,68
1935,110
1939,202
1940,85
1952,97
1953,5
1955,126
1960,165
1961,99
1962,99
1963,203
1964,203
1965,166
1966,15
1967,50
1968,107
1969,204
1978,84
1979,118
1982,205
1984,116
1986,109
1987,116
1991,195
1995,104
1996,82
1998,17
2002,111
2003,111
2013,12
2016,108
2017,13
2047,116
2062,183
2063,206
2064,207
2065,101
2068,116
2073,97
2075,128
2083,93
2099,42
2108,61
2131,129
2132,107
2146,62
2162,108
2163,61
2164,15
2176,131
2177,137
2182,13
2189,73
2198,41
2199,93
2201,208
2202,209
2203,44
2203,45
2203,46
2203,47
2203,48
2203,49
2204,69
2205,81
2210,115
2211,103
2212,19
2212,24
2213,209
2215,124
2217,210
2218,97
2219,82
2222,204
2224,211
2237,129
2238,107
2239,42
2241,207
2252,212
2256,41
2265,17
2273,213
2274,213
2275,213
2281,85
2282,214
2328,41
2329,41
2330,41
2331,41
2332,41
2343,14
2348,151
2355,17
2358,110
2364,111
2365,17
2366,17
2368,17
2371,17
2378,158
2379,41
2380,41
2392,41
2402,88
2414,111
2415,111
2439,215
2440,215
2443,5
2471,97
2481,216
2482,217
2483,143
2484,76
2486,218
2488,143
2496,217
2497,217
2498,219
2501,76
2502,76
2504,76
2506,220
2513,220
2516,128
2520,221
2523,14
2528,111
2529,128
2531,222
2538,223
2540,222
2554,51
2558,92
2559,128
2566,5
2567,5
2568,68
2569,68
2570,213
2571,214
2573,62
2585,76
2590,186
2591,13
