item_id,meeting_id,item_number,item_type,application_id,applicant_name,project_title,district,address_raw,summary,outcome,motion_text,vote_result,created_at,project_matches,staff_code,needs_review,extraction_confidence,category_id,item_order,item_title,item_text,action_taken,action_type,vote_detected,extraction_notes
1,1,1,Administrative,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,,Detected,,,TD/CS,True,0.5,8,1,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved agenda",Approved agenda,Administrative,True,
2,1,2,Consent Agenda,,,"December 13, 2023 Special Village Council Meeting Minutes",,,"December 13, 2023 Special Village Council Meeting Minutes. Action: Approved consent agenda",Approved consent agenda,,Detected,,,TD/CS,True,0.5,8,2,"December 13, 2023 Special Village Council Meeting Minutes","December 13, 2023 Special Village Council Meeting Minutes. Action: Approved consent agenda",Approved consent agenda,Consent Agenda,True,
3,1,3,Vote,,,Village of Estero Information Security Policy,,,Village of Estero Information Security Policy. Action: Adopted the Village of Estero Information Security Policy,Adopted the Village of Estero Information Security Policy,,Detected,,,TD/CS,True,0.5,8,3,Village of Estero Information Security Policy,Village of Estero Information Security Policy. Action: Adopted the Village of Estero Information Security Policy,Adopted the Village of Estero Information Security Policy,Vote,True,
4,1,4,Unknown,,Pro Energy,"Approval of code enforcement lien compromise payment from Pro Energy, LLC",,"8800 Corkscrew Road, Estero, FL","Approval of code enforcement lien compromise payment from Pro Energy, LLC. Action: Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made","Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made",,Detected,,,TD/CS,True,0.5,8,4,"Approval of code enforcement lien compromise payment from Pro Energy, LLC","Approval of code enforcement lien compromise payment from Pro Energy, LLC. Action: Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made","Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made",Unknown,False,
5,1,5,Contract Approval,EC 2024-07,Johnson Engineering,Village Wide Traffic Study Contract,,,"Village Wide Traffic Study Contract. Action: Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study","Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study",,Detected,,,TD/CS,True,0.5,4,5,Village Wide Traffic Study Contract,"Village Wide Traffic Study Contract. Action: Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study","Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study",Contract Approval,True,
6,1,6,Contract Approval,EC 2024-06,Florida Acquisition Services,Right of Way Acquisition Services Contract,,,Right of Way Acquisition Services Contract. Action: Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council,Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council,,Detected,,,TD/CS,True,0.5,4,6,Right of Way Acquisition Services Contract,Right of Way Acquisition Services Contract. Action: Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council,Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council,Contract Approval,True,
7,1,7,Contract Approval,EC 2022-83,National Water Main Cleaning Company,"Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1",,Estero Bay Village Septic Area,"Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1. Action: Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company","Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company",,Detected,,Septic to Sewer,TD/CS,False,0.95,5,7,"Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1","Estero Bay Village, Sunny Groves & Cypress Bend Gravity Sewer Smoke & Closed- circuit Television (CCTV) Testing Change Order No. 1. Action: Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company","Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water Main Cleaning Company for the gravity sewer line testing in the Estero Bay Village, Sunny Grove, and Cypress Bend mobile home developments, approve a 10% (of the total project cost) project contingency of $9,400, and authorize the Village Manager to sign Change Order No. 1 to Contract EC 2022-83 with National Water Main Cleaning Company",Contract Approval,True,
8,1,8,Unknown,,,"December 6, 2023 Council Meeting Minutes",,,"December 6, 2023 Council Meeting Minutes. Action: No formal action recorded. December 6, 2023 Council Meeting Minutes","No formal action recorded. December 6, 2023 Council Meeting Minutes",,,,,TD/CS,True,0.5,8,8,"December 6, 2023 Council Meeting Minutes","December 6, 2023 Council Meeting Minutes. Action: No formal action recorded. December 6, 2023 Council Meeting Minutes","No formal action recorded. December 6, 2023 Council Meeting Minutes",Unknown,False,
9,1,9,Public Comment,,,Review of the Code Enforcement law and procedures,,,"Review of the Code Enforcement law and procedures. Action: No formal action recorded. Review of the Code Enforcement law and procedures Staff Presentation/Comments Steve Sarkozy, Village Manager Robert Eschenfelder, Village Attorney Mary Gibbs, Community Development Director Stanley Knight, Code Compliance Manager Council Questions or Comments Councilmembers Zalucki, Ward, Fayhee, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments Clark McKenzie, Estero Council requested to get periodic updates on code compliance cases","No formal action recorded. Review of the Code Enforcement law and procedures Staff Presentation/Comments Steve Sarkozy, Village Manager Robert Eschenfelder, Village Attorney Mary Gibbs, Community Development Director Stanley Knight, Code Compliance Manager Council Questions or Comments Councilmembers Zalucki, Ward, Fayhee, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments Clark McKenzie, Estero Council requested to get periodic updates on code compliance cases",,,,,TD/CS,True,0.5,4,9,Review of the Code Enforcement law and procedures,"Review of the Code Enforcement law and procedures. Action: No formal action recorded. Review of the Code Enforcement law and procedures Staff Presentation/Comments Steve Sarkozy, Village Manager Robert Eschenfelder, Village Attorney Mary Gibbs, Community Development Director Stanley Knight, Code Compliance Manager Council Questions or Comments Councilmembers Zalucki, Ward, Fayhee, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments Clark McKenzie, Estero Council requested to get periodic updates on code compliance cases","No formal action recorded. Review of the Code Enforcement law and procedures Staff Presentation/Comments Steve Sarkozy, Village Manager Robert Eschenfelder, Village Attorney Mary Gibbs, Community Development Director Stanley Knight, Code Compliance Manager Council Questions or Comments Councilmembers Zalucki, Ward, Fayhee, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments Clark McKenzie, Estero Council requested to get periodic updates on code compliance cases",Public Comment,False,
10,2,1,Vote,,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS",,,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda as revised: pulled agenda item 3",Approved the agenda as revised: pulled agenda item 3,,Detected,,,DR/GR,True,0.5,8,1,"APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS","APPROVAL OF AGENDA, ADDITIONS, AND DELETIONS. Action: Approved the agenda as revised: pulled agenda item 3",Approved the agenda as revised: pulled agenda item 3,Vote,True,
11,2,2,Consent Agenda,Resolution No. 2017-01,,"Resolution No. 2017-01 A Resolution of the Village Council of the Village of Estero, Florida, Approving the City Mattress at Coconut Point Plat; and Providing an Effective Date",,Coconut Point,"Resolution No. 2017-01 A Resolution of the Village Council of the Village of Estero, Florida, Approving the City Mattress at Coconut Point Plat; and Providing an Effective Date. Action: Approved the consent agenda as revised; agenda item 3 pulled and rescheduled for the January 18, 2017 meeting","Approved the consent agenda as revised; agenda item 3 pulled and rescheduled for the January 18, 2017 meeting",,Unanimous,,,DR/GR,True,0.6,2,2,"Resolution No. 2017-01 A Resolution of the Village Council of the Village of Estero, Florida, Approving the City Mattress at Coconut Point Plat; and Providing an Effective Date","Resolution No. 2017-01 A Resolution of the Village Council of the Village of Estero, Florida, Approving the City Mattress at Coconut Point Plat; and Providing an Effective Date. Action: Approved the consent agenda as revised; agenda item 3 pulled and rescheduled for the January 18, 2017 meeting","Approved the consent agenda as revised; agenda item 3 pulled and rescheduled for the January 18, 2017 meeting",Consent Agenda,True,
12,2,3,Resolution,Resolution No. 2017-02,,"Resolution No. 2017-02 A Resolution of the Village Council of the Village of Estero, Florida, Adopting Fees for the Review of Commercial and Residential Right-of-Way Permits; Amending Resolution No. 2015-68; and Providing an Effective Date",,,"Resolution No. 2017-02 A Resolution of the Village Council of the Village of Estero, Florida, Adopting Fees for the Review of Commercial and Residential Right-of-Way Permits; Amending Resolution No. 2015-68; and Providing an Effective Date. Action: Adopted Resolution No. 2017-02",Adopted Resolution No. 2017-02,,Unanimous,,,DR/GR,True,0.5,1,3,"Resolution No. 2017-02 A Resolution of the Village Council of the Village of Estero, Florida, Adopting Fees for the Review of Commercial and Residential Right-of-Way Permits; Amending Resolution No. 2015-68; and Providing an Effective Date","Resolution No. 2017-02 A Resolution of the Village Council of the Village of Estero, Florida, Adopting Fees for the Review of Commercial and Residential Right-of-Way Permits; Amending Resolution No. 2015-68; and Providing an Effective Date. Action: Adopted Resolution No. 2017-02",Adopted Resolution No. 2017-02,Resolution,True,
13,2,4,Resolution,Resolution No. 2017-03,,"Resolution No. 2017-03 A Resolution of the Village Council of the Village of Estero, Florida, Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the",,,"Resolution No. 2017-03 A Resolution of the Village Council of the Village of Estero, Florida, Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the. Action: Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended",Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended,,Unanimous,,,DR/GR,True,0.5,8,4,"Resolution No. 2017-03 A Resolution of the Village Council of the Village of Estero, Florida, Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the","Resolution No. 2017-03 A Resolution of the Village Council of the Village of Estero, Florida, Authorizing the Waiving of Competitive Bidding Procedures and Authorizing the. Action: Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended",Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended,Resolution,True,
14,2,5,Contract Approval,,Lee County This agreement will provide the Village with maintenance services,Traffic Signal Maintenance Agreement with Lee County This agreement will provide the Village with maintenance services for the traffic signal intersection at Via Coconut Point and Coconut Road,,Via Coconut Point,Traffic Signal Maintenance Agreement with Lee County This agreement will provide the Village with maintenance services for the traffic signal intersection at Via Coconut Point and Coconut Road. Action: Approved the Traffic Signal Maintenance Agreement with Lee County,Approved the Traffic Signal Maintenance Agreement with Lee County,,Unanimous,,Corkscrew Road,DR/GR,False,0.95,4,5,Traffic Signal Maintenance Agreement with Lee County This agreement will provide the Village with maintenance services for the traffic signal intersection at Via Coconut Point and Coconut Road,Traffic Signal Maintenance Agreement with Lee County This agreement will provide the Village with maintenance services for the traffic signal intersection at Via Coconut Point and Coconut Road. Action: Approved the Traffic Signal Maintenance Agreement with Lee County,Approved the Traffic Signal Maintenance Agreement with Lee County,Contract Approval,True,
15,2,6,Ordinance,Ordinance No. 2017-01,,"Estero United Methodist Church Zoning Amendment Ordinance No. 2017-01 An Ordinance of the Village Council of the Village of Estero, Florida, approving an amendment to the community facilities planned development with deviations to allow for reconfiguratio",,,"Estero United Methodist Church Zoning Amendment Ordinance No. 2017-01 An Ordinance of the Village Council of the Village of Estero, Florida, approving an amendment to the community facilities planned development with deviations to allow for reconfiguratio. Action: Passed first reading and set second reading and public hearing date for January 18, 2017","Passed first reading and set second reading and public hearing date for January 18, 2017",,Unanimous,,,DR/GR,True,0.5,6,6,"Estero United Methodist Church Zoning Amendment Ordinance No. 2017-01 An Ordinance of the Village Council of the Village of Estero, Florida, approving an amendment to the community facilities planned development with deviations to allow for reconfiguratio","Estero United Methodist Church Zoning Amendment Ordinance No. 2017-01 An Ordinance of the Village Council of the Village of Estero, Florida, approving an amendment to the community facilities planned development with deviations to allow for reconfiguratio. Action: Passed first reading and set second reading and public hearing date for January 18, 2017","Passed first reading and set second reading and public hearing date for January 18, 2017",Ordinance,True,
