document_id,meeting_id,title,document_type,file_name,file_url,upload_date,doc_date,notes
1,1,Village Council Meeting Minutes - 2024-01-03,Minutes,01032024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,,2024-01-03,
2,2,Village Council Meeting Minutes - 2017-01-04,Minutes,010417 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/010417%20Council%20Meeting%20Approved%20Minutes.pdf,,2017-01-04,
3,3,Village Council Meeting Minutes - 2023-01-04,Minutes,01042023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/01042023%20minutes.pdf,,2023-01-04,
4,4,Village Council Meeting Minutes - 2022-01-05,Minutes,01052022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/01052022%20minutes.pdf,,2022-01-05,
5,5,Village Council Meeting Minutes - 2016-01-06,Minutes,01062016 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/01062016%20minutes.pdf,,2016-01-06,
6,6,Village Council Meeting Minutes - 2025-01-08,Minutes,01082025 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/01082025%20minutes.pdf,,2025-01-08,
7,7,Cancelled Meeting Notice - 2024-01-09,Minutes,01092024 PZDB cancellation.pdf,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/01092024%20PZDB%20cancellation.pdf,,2024-01-09,
8,8,PZ&DB Meeting Minutes - 2022-01-11,Minutes,01112022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/01112022%20PZDB%20Minutes.pdf,,2022-01-11,
9,9,PZ&DB Meeting Minutes - 2023-01-11,Minutes,01112023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/01112023%20PZDB%20Minutes.pdf,,2023-01-11,
10,10,Special Meeting Minutes - 2016-01-13,Minutes,01132016 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/01132016%20minutes.pdf,,2016-01-13,
11,11,Village Council Meeting Minutes - 2021-01-13,Minutes,01132021 Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/01132021%20Minutes.pdf,,2021-01-13,
12,12,PZ&DB Meeting Minutes - 2025-01-14,Minutes,01142025 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/PZDB/01142025%20PZDB%20Minutes.pdf,,2025-01-14,
