project_id,project_name,description,start_year,status
1,BERT Rail Trail,,,Active
2,Septic to Sewer,,,Active
3,Corkscrew Road,,,Active
4,Comprehensive Plan,,,Active
5,Budget / Capital Improvement,,,Active
6,Estero on the River,,,Active
7,Sandy Lane Improvements,,,Active
8,Broadway Avenue Utility Extension,,,Active
9,Williams Road Improvements,,,Active
10,Estero Parkway Improvements,,,Active
11,Ben Hill Griffin Parkway Improvements,,,Active
12,Comprehensive Plan / Land Development Code,,,Active
13,General Council Business,,,Active
14,General Planning & Zoning,,,Active
