AgendaItemID,MeetingDate,ProjectTitle,Location,Latitude,Longitude,ParsedNumber,ParsedStreet,PointParcelSTRAP,PointParcelAddress,AddressParcelSTRAP,AddressParcelAddress,AddressMatchCount,DistanceMeters,Status,Notes,Document_Link
1072,2023-06-21,8801 Corkscrew Road Structure Demolition - RFB 2023-04,"8801 Corkscrew Road, Estero, FL",26.434598214195,-81.807374237947,8801,CORKSCREW,334625E2U19482389,8801 CORKSCREW RD,334625E2U19482389,8801 CORKSCREW RD,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf
1806,2023-10-18,8801 Corkscrew Road Structure Demolition - RFB 2023-04,"8801 Corkscrew Road, Estero, FL",26.434598214195,-81.807374237947,8801,CORKSCREW,334625E2U19482389,8801 CORKSCREW RD,334625E2U19482389,8801 CORKSCREW RD,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/10182023%20minutes.pdf
206,2016-02-10,"RFP 2016-02 Council Chambers Audio, Video and Sound System","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,9401,CORKSCREW PALMS,344625E1113030101,9401 CORKSCREW PALMS CIR,344625E1113030101,9401 CORKSCREW PALMS CIR,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/021016%20Council%20Regular%20Meeting%20Approved%20Minutes.pdf
431,2016-03-23,"RFP 2016-02 Council Chambers Audio, Video and Sound System-Accept Proposal","9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,9401,CORKSCREW PALMS,344625E1113030101,9401 CORKSCREW PALMS CIR,344625E1113030101,9401 CORKSCREW PALMS CIR,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/032316%20Council%20Meeting%20Approved%20Minutes.pdf
2587,2020-05-27,Computer Replacement Proposal,"9401 Corkscrew Palms Circle, Estero, FL 33928",26.430490662544,-81.799280001688,9401,CORKSCREW PALMS,344625E1113030101,9401 CORKSCREW PALMS CIR,344625E1113030101,9401 CORKSCREW PALMS CIR,1,0,VERIFIED,,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf
1190,2020-07-08,"Resolution 2020-11 Of The Village Council Of The Village OfEstero, Florida, Approving A Budget Amendment For Coconut Road Improvement Study For Fiscal Year 2019-2020; And Providing An Effective Date Supplemental Task Authorization (STA)-14 under C...","Coconut Road from US 41 to Via Coconut Point, Estero, FL",26.398474495578,-81.808064278126,,,094725E2360SC0040,8017 VIA SARDINIA WAY,,,0,,VENUE_ONLY,point in 8017 VIA SARDINIA WAY,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/07082020%20Council%20Meeting%20Minutes.pdf
530,2021-04-07,"Resolution No. 2021-10 of the Village Council of the Village of Estero, Florida, Approving the Second Budget Amendment for Fiscal Year 2020-2021 to Approve Use of Additional Village Funds and Provide a Funding Transfer for Corkscrew Road/Puente La...","Corkscrew Road & Puente Lane, Estero, FL",26.431386394627,-81.784740920078,,,,,,,0,,VENUE_NO_PARCEL,point not in any parcel and no parseable address,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/04072021%20minutes.pdf
2580,2020-05-27,Corkscrew Road Interlocal Agreement,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,,,304626E30100A10CE,WILDCAT RUN C/E,,,0,,VENUE_ONLY,point in WILDCAT RUN C/E,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2020%20Minutes/Council/2020-05-27%20Council%20Meeting%20Minutes.pdf
1967,2024-11-06,Corkscrew Road Corkscrew Road CMAR Contract Guaranteed Maximum Price (GMP) Addendum No. 01,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",26.443916962688,-81.750022322755,,,304626E30100A10CE,WILDCAT RUN C/E,,,0,,VENUE_ONLY,point in WILDCAT RUN C/E,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/11062024%20minutes.pdf
1629,2021-09-22,"Estero Bay Village, Sunny Groves, & Cypress Bend Utility Expansion Design & Permitting Contract","Estero Bay Village, Estero, FL",26.4408,-81.8225,,,294625E3U18012461,20518 TAHITIAN BLVD,,,0,,VENUE_ONLY,point in 20518 TAHITIAN BLVD,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/09222021%20minutes.pdf
1073,2023-06-21,Estero Parkway Plant Replacements - EC 2021-04 Amendment 5,"Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL",26.448792003304,-81.803409304378,,,274625E11100B00CE,CASCADES @ ESTERO C/E,,,0,,VENUE_ONLY,point in CASCADES @ ESTERO C/E,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/06212023%20%20minutes.pdf
