item_id,meeting_id,action_type,vote_detected,project_matches,review_reason,item_text
1,1,Administrative,True,,No location name/address matched,Approved agenda
2,1,Consent Agenda,True,,No location name/address matched,Approved consent agenda
3,1,Vote,True,,No location name/address matched,Adopted the Village of Estero Information Security Policy
5,1,Contract Approval,True,,No location name/address matched,"Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study"
6,1,Contract Approval,True,,No location name/address matched,Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council
8,1,Unknown,False,,No location name/address matched,"No formal action recorded. December 6, 2023 Council Meeting Minutes"
9,1,Public Comment,False,,No location name/address matched,"No formal action recorded. Review of the Code Enforcement law and procedures Staff Presentation/Comments Steve Sarkozy, Village Manager Robert Eschenfelder, Village Attorney Mary Gibbs, Community Development Director Stanley Knight, Code Compliance Manager Council Questions or Comments Councilmembers Zalucki, Ward, Fayhee, Lopez, Vice Mayor Ribble, and Mayor McLain. Public Comments Clark McKenzie, Estero Council requested to get periodic updates on code compliance cases"
10,2,Vote,True,,No location name/address matched,Approved the agenda as revised: pulled agenda item 3
12,2,Resolution,True,,No location name/address matched,Adopted Resolution No. 2017-02
13,2,Resolution,True,,No location name/address matched,Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended
15,2,Ordinance,True,,No location name/address matched,"Passed first reading and set second reading and public hearing date for January 18, 2017"
16,2,Ordinance,True,Comprehensive Plan; Comprehensive Plan / Land Development Code,No location name/address matched,Passed second reading and adopted Ordinance No. 2016-15
17,2,Ordinance,True,,No location name/address matched,Passed second reading and adopted Ordinance No. 2016-16
18,2,Unknown,False,,No location name/address matched,"No formal action recorded. Approval of December 7, 2016 Council Meeting Minutes"
