document_id,meeting_id,legacy_document_id,document_type,title,file_url,uploaded_at
1,1,1,Minutes,Village Council Meeting Minutes - 2024-01-03,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,
2,2,2,Minutes,Village Council Meeting Minutes - 2017-01-04,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/010417%20Council%20Meeting%20Approved%20Minutes.pdf,
3,3,3,Minutes,Village Council Meeting Minutes - 2023-01-04,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/01042023%20minutes.pdf,
4,4,4,Minutes,Village Council Meeting Minutes - 2022-01-05,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/01052022%20minutes.pdf,
5,5,5,Minutes,Village Council Meeting Minutes - 2016-01-06,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/01062016%20minutes.pdf,
6,6,6,Minutes,Village Council Meeting Minutes - 2025-01-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/01082025%20minutes.pdf,
7,7,7,Minutes,Cancelled Meeting Notice - 2024-01-09,https://raw.githubusercontent.com/EagleGIS-FGCU/EagleGIS/script/pdfs/01092024%20PZDB%20cancellation.pdf,
8,8,8,Minutes,PZ&DB Meeting Minutes - 2022-01-11,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/01112022%20PZDB%20Minutes.pdf,
9,9,9,Minutes,PZ&DB Meeting Minutes - 2023-01-11,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/01112023%20PZDB%20Minutes.pdf,
10,10,10,Minutes,Special Meeting Minutes - 2016-01-13,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/01132016%20minutes.pdf,
11,11,11,Minutes,Village Council Meeting Minutes - 2021-01-13,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/01132021%20Minutes.pdf,
