location_id,location_name,location_type,address,description,latitude,longitude
1,Estero Village Hall,Meeting Venue,"9401 Corkscrew Palms Circle, Estero, FL 33928",,26.430490662544,-81.799280001688
2,Legacy Church,Meeting Venue,"21115 Design Parc Lane, Estero, FL 33928",,26.432182214424,-81.799357282836
3,Estero Fire Rescue,Meeting Venue,"21500 Three Oaks Parkway, Estero, FL 33928",,26.426449705114,-81.788771609677
4,BERT Rail Trail Corridor,Trail,"Seminole Gulf Railway corridor from southern Village limits to Estero Parkway, Estero, FL",,26.423875,-81.804915
5,Corkscrew Road Widening Corridor,Road,"Corkscrew Road from Ben Hill Griffin Parkway to east of Bella Terra Boulevard, Estero, FL",,26.443916962688,-81.750022322755
6,Corkscrew Rd / Puente Lane,Road,"Corkscrew Road at Puente Lane, Estero, FL",,26.431386394627,-81.784740920078
7,Estero Bay Village Septic Area,Infrastructure,"Estero Bay Village, Estero, FL",,26.4408,-81.8225
8,Sunny Grove Septic Area,Infrastructure,"Sunny Grove, Estero, FL",,26.4376,-81.8128
9,Cypress Bend Septic Area,Infrastructure,"Cypress Bend, Estero, FL",,26.4469,-81.8116
10,Broadway Avenue East UEP,Infrastructure,"Broadway Avenue East from US 41 to Sandy Lane, Estero, FL",,26.441974498538,-81.807963485741
11,Broadway Avenue West UEP,Infrastructure,"Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL",,26.441876807456,-81.822814751334
12,Sandy Lane,Road,"Sandy Lane from Corkscrew Road to Broadway Avenue East, Estero, FL",,26.43663000848,-81.804926512673
13,Williams Road,Road,"Williams Road from US 41 to Three Oaks Parkway, Estero, FL",,26.420352499197,-81.799938484002
14,Estero Parkway,Road,"Estero Parkway from US 41 to Three Oaks Parkway, Estero, FL",,26.448792003304,-81.803409304378
15,Ben Hill Griffin Parkway,Road,"Ben Hill Griffin Parkway from Corkscrew Road to Estero Parkway, Estero, FL",,26.442888042165,-81.772410260408
16,Three Oaks Parkway,Road,"Three Oaks Parkway from Williams Road to Estero Parkway, Estero, FL",,26.434889506286,-81.788651999919
17,US 41 / Tamiami Trail,Road,"US 41 from Williams Road to Estero Parkway, Estero, FL",,26.434255,-81.814695788461
18,Coconut Road,Road,"Coconut Road from US 41 to Via Coconut Point, Estero, FL",,26.398474495578,-81.808064278126
19,Via Coconut Point,Road,"Via Coconut Point from Coconut Road to Corkscrew Road, Estero, FL",,26.420479,-81.80657
20,Broadway Avenue,Road,"Broadway Avenue at US 41, Estero, FL",,26.44194750881,-81.811011983925
21,River Ranch Road,Road,"River Ranch Road from Williams Road to Corkscrew Road, Estero, FL",,26.425785502152,-81.794620501714
22,River Oaks Preserve,Park,"River Oaks Preserve, Estero, FL",,26.4420079,-81.7993579
23,Estero River,General Area,"Estero River near Old Estero and Koreshan State Park, Estero, FL",,26.4360313,-81.8217353
24,Coconut Point,Development,"Coconut Point, Estero, FL",,26.4038818,-81.8077365
25,Miromar Outlets,Development,"Miromar Outlets, Estero, FL",,26.438084,-81.772808
26,Koreshan State Park,Park,"Koreshan State Park, Estero, FL",,26.4368409,-81.8180833
27,Hertz Arena,Development,"Hertz Arena, Estero, FL",,26.440541,-81.77872
28,Bella Terra,Neighborhood,"Bella Terra, Estero, FL",,,
29,Stoneybrook,Neighborhood,"Stoneybrook, Estero, FL",,26.4298062,-81.7679548
30,Pelican Sound,Neighborhood,"Pelican Sound, Estero, FL",,,
31,The Brooks,Neighborhood,"The Brooks, Estero, FL",,26.3926426,-81.7753764
32,Shadow Wood,Neighborhood,"Shadow Wood, Estero, FL",,26.4099337,-81.7949565
33,University Village,Development,"University Village, Estero, FL",,,
34,Genova,Development,"21450 Strada Nuova Circle, Estero, FL",,26.428168875365,-81.804317441678
35,Tidewater,Neighborhood,"Tidewater, Estero, FL",,,
36,WildBlue,Neighborhood,"WildBlue, Estero, FL",,,
37,Summercrest,Development,"Summercrest, Estero, FL",,,
38,"8800 Corkscrew Road, Estero, FL",Project Site,"8800 Corkscrew Road, Estero, FL",,26.430882013604,-81.807370969005
39,Bella Terra Subdivision,NEIGHBORHOOD,Bella Terra Subdivision,,26.433015857266223,-81.73086266056815
40,"Estero Bay Village, Estero, FL",NAMED_VENUE,"Estero Bay Village, Estero, FL",,26.4408,-81.8225
41,"Estero River near Old Estero and Koreshan State Park, Estero, FL",NAMED_VENUE,"Estero River near Old Estero and Koreshan State Park, Estero, FL",,26.4360313,-81.8217353
42,"Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL",Project Site,"Broadway Avenue West from US 41 to Pine Tree Lane, Estero, FL",,26.441876807456,-81.822814751334
43,CORKSCREW RD & PUENTE LN,INTERSECTION,CORKSCREW RD & PUENTE LN,,26.43138316862,-81.7846769284524
44,8990 CORKSCREW RD,PARCEL_ADDRESS,8990 CORKSCREW RD,,26.42941656256928,-81.80521548950183
45,21650 VIA COCONUT POINT,PARCEL_ADDRESS,21650 VIA COCONUT POINT,,26.426873865090073,-81.80537457462647
46,21750 VIA COCONUT POINT,PARCEL_ADDRESS,21750 VIA COCONUT POINT,,26.42526614416781,-81.80449010301406
47,21331 HAPPY HOLLOW LN,PARCEL_ADDRESS,21331 HAPPY HOLLOW LN,,26.42889991964289,-81.8056086384823
48,21350 HAPPY HOLLOW LN,PARCEL_ADDRESS,21350 HAPPY HOLLOW LN,,26.428132605258963,-81.80600459836357
49,21351 HAPPY HOLLOW LN,PARCEL_ADDRESS,21351 HAPPY HOLLOW LN,,26.428150046589735,-81.80559959172314
50,10500 Corkscrew Road,General Area,"10500 Corkscrew Road, Estero, FL",,,
51,Casta Del Sol at Pelican Landing Condominium,NEIGHBORHOOD,Casta Del Sol at Pelican Landing Condominium,,26.368806512145348,-81.80994853587833
52,9301 CORKSCREW RD,PARCEL_ADDRESS,9301 CORKSCREW RD,,26.43226931570325,-81.8011623153021
53,9201 CORKSCREW RD,PARCEL_ADDRESS,9201 CORKSCREW RD,,26.43227641629388,-81.80365201707615
54,21520 STRADA NUOVA CIR,PARCEL_ADDRESS,21520 STRADA NUOVA CIR,,26.43073303806516,-81.80426648794258
55,21471 STRADA NUOVA CIR,PARCEL_ADDRESS,21471 STRADA NUOVA CIR,,26.42928776119197,-81.80371477374048
