ProjectName,MeetingType,MeetingDate,MeetingYear,Status,ActionTaken,StartTime,StaffCode,Title,MinutesURL,DocDate,LocationName,Latitude,Longitude
Corkscrew Road,Regular Council Meeting,2024-01-03,2024,Accepted,"Approved agenda | Approved consent agenda | Adopted the Village of Estero Information Security Policy | Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made | Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study | Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council | Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water",9:30 am,ON/CO,Village Council Meeting Minutes — 2024-01-03,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,2024-01-03,Corkscrew Road Widening Corridor,26.436300,-81.770100
Corkscrew Road,Regular Council Meeting,2024-01-03,2024,Accepted,"Approved agenda | Approved consent agenda | Adopted the Village of Estero Information Security Policy | Accepted a payment of $30,000 from ProEnergy, LLC, in compromise of the Village's code enforcement lien on the owner's property at 8800 Corkscrew Road, and to authorize the Village Manager or his designee to file a release of lien once the payment has been made | Approved Contract EC 2024-07 with Johnson Engineering, Inc. to prepare the Village Wide Traffic Study for $249,480, approve a $25,000 contingency for additional services that may be required to complete the project, authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and authorize the Village Manager to execute an amendment to the agreement to add the locations added by council. Vice Mayor Ribble would like to add the intersection Meadowbrook and Coconut to the study. Councilmember Zalucki would like to add the intersections Corkscrew and Estero Crossing Blvd and Corkscrew and Bella Terra Blvd to the study | Approved contract EC 2024-06 with Florida Acquisition Services to provide right-of-way acquisition services to the Village of Estero and authorize the Village Manager to sign the contract and other implementing documents within the scope of the contract on behalf of the Village of Estero Council | Approved Change Order No. 1 in the amount of $8,500.00 to Contract EC 2022-83 with National Water",9:30 AM,TD/CS,Village Council Meeting Minutes — 2024-01-03,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01032024%20minutes.pdf,2024-01-03,Corkscrew Rd / Puente Lane,26.431200,-81.784700
General Council Business,Regular Council Meeting,2016-06-08,2016,Accepted,"Approved the agenda as revised: pulled agenda item 3 (b) from the Consent Agenda and rescheduled for the January 18, 2017 Council meeting; removed agenda item 10 (b) and delayed discussion until it is determined whether there will be a Village election in March | Approved the consent agenda as revised; agenda item 3 pulled and rescheduled for the January 18, 2017 meeting | Adopted Resolution No. 2017-02 | Adopted Resolution No. 2017-03 and approved the agreement between the Village and Pritchard Construction LLC as amended | Approved the Traffic Signal Maintenance Agreement with Lee County | Passed first reading and set second reading and public hearing date for January 18, 2017 | Passed second reading and adopted Ordinance No. 2016-15 | Passed second reading and adopted Ordinance No. 2016-16",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-06-08,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/010417%20Council%20Meeting%20Approved%20Minutes.pdf,2017-01-04,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2023-01-18,2023,Accepted,"Motion to permit Councilmember Ribble to participate remotely in Zoom Presentation | Approved agenda | Approved the Consent Agenda | Approved Change Order #1 to Contract EC 2019-36 in the amount of $46,980 with Coastal Engineering Consultants, Inc. for additional work required to address environmental permit application questions from the Florida Department of Environmental Protection for the proposed dredging of sediments from the Estero River | Accepted the Village's portion of the Opiod Settlement in the amount of $14,400",9:30 am,ON/CO,Village Council Meeting Minutes — 2023-01-18,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/01042023%20minutes.pdf,2023-01-04,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2016-01-20,2016,Accepted,Approved the agenda | Approved the Consent Agenda | Approved first reading of Ordinance No. 2016-01 | Adopted Resolution No. 2016-01 | Adopted Resolution No. 2016-02 | Adopted Resolution No. 2016-03,9:30 am,DA/MI,Village Council Meeting Minutes — 2016-01-20,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/01062016%20minutes.pdf,2016-01-06,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2025-01-22,2025,Accepted,"Approved agenda | Approved consent agenda | Approved award of Task Authorization 14 to Contract EC 2022-38 to Johnson Engineering to provide water monitoring services for The Village of Estero for $193,411, approve a $19,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the STA and other additional implementing documents within the scope of the STA on behalf of the Village of Estero Council | Passed first reading and schedule second reading for February 5, 2025 and the applicant will provide us with additional information | Passed first reading and schedule second reading for January 22, 2025",9:30 am,DA/MI,Village Council Meeting Minutes — 2025-01-22,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/01082025%20minutes.pdf,2025-01-08,Estero Village Hall,26.428500,-81.806800
General Council Business,Special Called Meeting,2016-02-10,2016,Accepted,"Directed Village Land Use Attorney Nancy Stroud to investigate the merits of an annexation challenge, a DRI challenge, and Comprehensive Plan challenge, with traffic analysis; further review of coastal high hazard area implication; directed staff to engage with the county regarding partnering with the Village to try to find a solution; engage a traffic engineer and bring information back, including budget implication, to Council at the next meeting | Continued deliberations to 9:00 a.m. on January 20, 2016",9:30 am,DA/MI,Village Council Meeting Minutes — 2016-02-10,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/01132016%20minutes.pdf,2016-01-13,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-01-13,2021,Accepted,No action found,9:30 am,DA/MI,Village Council Meeting Minutes — 2021-01-13,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/01132021%20Minutes.pdf,2021-01-13,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2021-02-17,2021,Accepted,"Approved to permit Councilmembers Levitan, and Wilson to participate remotely in Zoom Presentation, and to combine agenda items 7(a)/6(b) | Approved the Consent Agenda | Approved Motion to approve award of Request for Bid No. RFB 2021-01, Mowing, Landscape, and Irrigation Maintenance for the Village of Estero to P & T Lawn and Tractor Service, Inc. to provide mowing, landscape, and irrigation maintenance services as provided in the contract for a one-year period, at a rate of $127,075.00 per year, authorize the Village Manager to renegotiate and execute the renewal of this contract for three additional one year terms under the same terms and conditions, which would include adding Estero Parkway maintenance and US 41 maintenance, if doing so is in the best interest of the Village of Estero, approve a contingency fund amount of $13,000 (10% contingency) to cover unforeseen circumstances which may occur, and authorize the Village Manager to execute the contract documents on behalf of the Village of Estero Council | Approved Ordinance 2020-11 with the change to Section 2, adding one additional condition that says the Village Manager may waive the agreement that the traffic light be operational prior to the first certificate of completion for the vertical development, if the Village Manager determines that the light will be operational within four months | Motion to approve Estero Crossing - Corkscrew Road/Puente Lane Traffic Signal Agreement with the revision to remove the last s",9:30 am,DA/MI,Village Council Meeting Minutes — 2021-02-17,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/01202021%20minutes.pdf,2021-01-20,Estero Village Hall,26.428500,-81.806800
General Council Business,Regular Council Meeting,2024-01-24,2024,Accepted,"Approved agenda | Approved consent agenda | Approved Interlocal Agreement for Election Services with the Supervisor of Elections | Approved EC 2024-10 in the amount of $151,440 for CW3 Engineering, Inc. to provide construction engineering and inspection services for the Estero on the River Phase 1 Improvements, approve a $15,000 contingency for additional services that may be required to complete the project and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute and subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Approved EC 2024-09 in the amount of $490,560.65 for HighSpans Engineering, Inc. to provide construction engineering and inspection services for the Sandy Lake Bike/Ped Improvements, approve a $49,000 contingency for additional services that may be required to complete the project, and authorize the Village Manager to sign the contract and other additional implementing documents within the scope of the contract on behalf of the Village of Estero Council, and to approve and execute and subsequent amendments which do not require an increase in the not to exceed budget (with contingency) | Adopted Resolution No. 2024-02 | Approved Agreement of Purchase and Sale Agreement for the purchase of 20897 Three Oaks Parkway | Approved Recreation Lease Agreement with the Lee Coun",9:30 am,ON/CO,Village Council Meeting Minutes — 2024-01-24,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/01242024%20minutes.pdf,2024-01-24,Estero Village Hall,26.428500,-81.806800
